ID Pedido;ID Produto;Quantidade;ID Veículo;Status do pedido;Data da compra;Data de entrega;Data previsão;Latitude;Longitude;UF da entrega
95;39;3;42;Entregue;1/5/21 12:44;08/01/2021 12:44;20/01/2021 12:44;-12.64;-55.42;MT
96;12;10;18;Entregue;1/5/21 13:12;08/01/2021 13:12;22/01/2021 13:12;-9.62;-36.82;AL
97;37;8;26;Entregue;1/5/21 13:22;13/01/2021 13:22;22/01/2021 13:22;-5.81;-36.59;RN
98;61;6;17;Entregue;1/5/21 14:16;24/01/2021 14:16;25/01/2021 14:16;-22.19;-48.79;SP
99;7;4;28;Entregue;1/5/21 14:36;25/01/2021 14:36;23/01/2021 14:36;-22.25;-42.66;RJ
100;64;7;8;Entregue;1/5/21 14:40;14/01/2021 14:40;20/01/2021 14:40;-18.1;-44.38;MG
101;28;4;21;Entregue;1/5/21 14:49;16/01/2021 14:49;21/01/2021 14:49;-30.17;-53.5;RS
102;60;4;27;Entregue;1/5/21 15:08;17/01/2021 15:08;23/01/2021 15:08;-22.19;-48.79;SP
103;58;2;22;Entregue;1/5/21 15:17;14/01/2021 15:17;20/01/2021 15:17;-6.6;-42.28;PI
104;56;7;6;Entregue;1/5/21 16:57;17/01/2021 16:57;25/01/2021 16:57;-6.6;-42.28;PI
105;7;8;5;Entregue;1/5/21 17:09;20/01/2021 17:09;23/01/2021 17:09;-22.19;-48.79;SP
106;53;3;25;Entregue;1/5/21 17:11;24/01/2021 17:11;21/01/2021 17:11;-8.38;-37.86;PE
107;14;3;26;Entregue;1/5/21 17:14;16/01/2021 17:14;24/01/2021 17:14;-22.25;-42.66;RJ
108;24;6;18;Entregue;1/5/21 17:16;15/01/2021 17:16;24/01/2021 17:16;-22.19;-48.79;SP
109;63;2;40;Entregue;1/5/21 17:21;09/01/2021 17:21;20/01/2021 17:21;-8.38;-37.86;PE
110;64;7;13;Entregue;1/5/21 18:06;15/01/2021 18:06;24/01/2021 18:06;-22.19;-48.79;SP
111;21;6;7;Entregue;1/5/21 19:09;21/01/2021 19:09;21/01/2021 19:09;-20.51;-54.54;MS
112;59;10;6;Entregue;1/5/21 20:09;22/01/2021 20:09;22/01/2021 20:09;-22.25;-42.66;RJ
113;17;8;36;Entregue;1/5/21 20:20;20/01/2021 20:20;21/01/2021 20:20;1.41;-51.77;AP
114;37;3;30;Entregue;1/5/21 20:20;10/01/2021 20:20;23/01/2021 20:20;-22.19;-48.79;SP
115;16;1;21;Entregue;1/5/21 20:36;23/01/2021 20:36;24/01/2021 20:36;-15.98;-49.86;GO
116;38;1;25;Entregue;1/5/21 21:03;20/01/2021 21:03;24/01/2021 21:03;-22.19;-48.79;SP
117;1;5;17;Entregue;1/5/21 21:10;15/01/2021 21:10;22/01/2021 21:10;-15.83;-47.86;DF
118;47;8;32;Entregue;1/5/21 22:24;18/01/2021 22:24;22/01/2021 22:24;-5.81;-36.59;RN
119;48;8;28;Entregue;1/5/21 22:39;20/01/2021 22:39;25/01/2021 22:39;-6.6;-42.28;PI
120;32;7;6;Entregue;1/5/21 22:44;23/01/2021 22:44;22/01/2021 22:44;-13.29;-41.71;BA
121;46;4;9;Entregue;2/5/21 22:49;25/02/2021 22:49;23/02/2021 22:49;-15.83;-47.86;DF
122;46;8;16;Entregue;2/5/21 22:53;18/02/2021 22:53;20/02/2021 22:53;-5.42;-45.44;MA
123;61;6;42;Entregue;2/5/21 23:14;21/02/2021 23:14;20/02/2021 23:14;-22.25;-42.66;RJ
124;50;5;6;Entregue;2/6/21 0:06;16/02/2021 00:06;23/02/2021 00:06;1.99;-61.33;RR
125;53;8;15;Entregue;2/6/21 0:12;09/02/2021 00:12;24/02/2021 00:12;-22.25;-42.66;RJ
126;63;2;36;Entregue;2/6/21 2:53;12/02/2021 02:53;23/02/2021 02:53;-8.38;-37.86;PE
127;38;7;40;Entregue;2/6/21 7:08;23/02/2021 07:08;24/02/2021 07:08;-22.19;-48.79;SP
128;24;5;42;Entregue;2/6/21 7:53;26/02/2021 07:53;23/02/2021 07:53;-22.25;-42.66;RJ
129;49;3;8;Entregue;1/6/19 8:28;21/01/2019 08:28;24/01/2019 08:28;-22.25;-42.66;RJ
130;29;10;20;Entregue;2/6/21 8:58;11/02/2021 08:58;26/02/2021 08:58;-22.19;-48.79;SP
131;14;9;16;Entregue;2/6/21 9:07;26/02/2021 09:07;26/02/2021 09:07;-15.83;-47.86;DF
132;44;8;32;Entregue;2/6/21 9:22;25/02/2021 09:22;25/02/2021 09:22;-5.42;-45.44;MA
133;36;8;24;Entregue;2/6/21 9:59;23/02/2021 09:59;23/02/2021 09:59;-15.98;-49.86;GO
134;64;9;2;Entregue;2/6/21 10:12;21/02/2021 10:12;26/02/2021 10:12;-6.6;-42.28;PI
135;34;5;41;Entregue;2/6/21 10:13;17/02/2021 10:13;21/02/2021 10:13;-22.25;-42.66;RJ
136;19;5;36;Entregue;2/6/21 10:47;25/02/2021 10:47;21/02/2021 10:47;-9.46;-48.26;TO
137;28;4;17;Entregue;2/6/21 11:05;12/02/2021 11:05;22/02/2021 11:05;-22.19;-48.79;SP
138;3;3;12;Entregue;2/6/21 11:32;19/02/2021 11:32;21/02/2021 11:32;-24.89;-51.55;PR
139;53;2;31;Entregue;2/6/21 12:21;14/02/2021 12:21;22/02/2021 12:21;-22.19;-48.79;SP
140;8;9;4;Entregue;2/6/21 12:22;10/02/2021 12:22;26/02/2021 12:22;-22.25;-42.66;RJ
141;54;1;25;Entregue;2/6/21 12:23;17/02/2021 12:23;25/02/2021 12:23;-20.51;-54.54;MS
142;40;1;42;Entregue;2/6/21 12:51;24/02/2021 12:51;25/02/2021 12:51;-22.19;-48.79;SP
143;36;3;17;Entregue;2/6/21 13:02;20/02/2021 13:02;25/02/2021 13:02;-22.19;-48.79;SP
144;41;6;20;Entregue;2/6/21 13:07;18/02/2021 13:07;22/02/2021 13:07;-22.19;-48.79;SP
145;9;7;34;Entregue;2/6/21 13:16;25/02/2021 13:16;22/02/2021 13:16;1.41;-51.77;AP
146;16;5;28;Entregue;2/6/21 13:21;13/02/2021 13:21;21/02/2021 13:21;-3.79;-52.48;PA
147;44;2;16;Entregue;2/6/21 13:24;11/02/2021 13:24;21/02/2021 13:24;-22.25;-42.66;RJ
148;4;2;1;Entregue;2/6/21 13:38;09/02/2021 13:38;23/02/2021 13:38;-22.19;-48.79;SP
149;12;2;38;Entregue;2/6/21 13:39;16/02/2021 13:39;21/02/2021 13:39;-22.25;-42.66;RJ
150;3;2;25;Entregue;2/6/21 14:36;23/02/2021 14:36;21/02/2021 14:36;-22.25;-42.66;RJ
151;38;7;8;Entregue;2/6/21 14:59;11/02/2021 14:59;26/02/2021 14:59;-22.25;-42.66;RJ
152;39;9;23;Entregue;2/6/21 15:14;19/02/2021 15:14;21/02/2021 15:14;-22.19;-48.79;SP
153;36;10;36;Entregue;2/6/21 15:19;18/02/2021 15:19;25/02/2021 15:19;-8.38;-37.86;PE
154;43;2;3;Entregue;2/6/21 16:13;25/02/2021 16:13;26/02/2021 16:13;-22.25;-42.66;RJ
155;16;10;6;Entregue;2/6/21 16:17;18/02/2021 16:17;23/02/2021 16:17;-22.25;-42.66;RJ
156;64;8;6;Entregue;2/6/21 16:34;15/02/2021 16:34;22/02/2021 16:34;-22.19;-48.79;SP
157;1;4;33;Entregue;2/6/21 16:43;09/02/2021 16:43;24/02/2021 16:43;-22.19;-48.79;SP
158;49;4;34;Entregue;2/6/21 17:10;19/02/2021 17:10;24/02/2021 17:10;-22.25;-42.66;RJ
159;37;2;23;Entregue;2/6/21 17:42;14/02/2021 17:42;22/02/2021 17:42;-19.19;-40.34;ES
160;32;10;22;Entregue;2/6/21 17:45;10/02/2021 17:45;22/02/2021 17:45;-22.25;-42.66;RJ
161;13;5;35;Entregue;2/6/21 18:03;10/02/2021 18:03;24/02/2021 18:03;-8.77;-70.55;AC
162;42;9;11;Entregue;2/6/21 18:11;09/02/2021 18:11;25/02/2021 18:11;-22.25;-42.66;RJ
163;17;2;13;Entregue;2/6/21 18:50;09/02/2021 18:50;23/02/2021 18:50;-27.45;-50.95;SC
164;41;8;30;Entregue;2/6/21 19:33;23/02/2021 19:33;21/02/2021 19:33;-22.19;-48.79;SP
165;20;6;33;Entregue;2/6/21 19:38;14/02/2021 19:38;21/02/2021 19:38;-5.42;-45.44;MA
166;29;7;1;Entregue;2/6/21 20:05;19/02/2021 20:05;24/02/2021 20:05;-9.46;-48.26;TO
167;7;5;29;Entregue;2/6/21 20:06;26/02/2021 20:06;24/02/2021 20:06;-22.19;-48.79;SP
168;49;9;26;Entregue;2/6/21 20:15;17/02/2021 20:15;21/02/2021 20:15;-20.51;-54.54;MS
169;7;9;42;Entregue;2/6/21 20:43;21/02/2021 20:43;25/02/2021 20:43;-5.2;-39.53;CE
170;48;2;2;Entregue;2/6/21 22:00;18/02/2021 22:00;23/02/2021 22:00;-22.25;-42.66;RJ
171;49;5;30;Entregue;2/6/21 22:23;24/02/2021 22:23;23/02/2021 22:23;-22.19;-48.79;SP
172;1;1;31;Entregue;2/6/21 22:34;10/02/2021 22:34;26/02/2021 22:34;-6.6;-42.28;PI
173;45;5;34;Entregue;2/6/21 23:21;23/02/2021 23:21;23/02/2021 23:21;-5.42;-45.44;MA
174;54;4;1;Entregue;2/6/21 23:49;19/02/2021 23:49;26/02/2021 23:49;-9.62;-36.82;AL
175;50;2;21;Entregue;2/7/21 0:54;10/02/2021 00:54;25/02/2021 00:54;-30.17;-53.5;RS
176;58;1;23;Entregue;2/7/21 2:41;20/02/2021 02:41;24/02/2021 02:41;-18.1;-44.38;MG
177;45;8;31;Entregue;2/7/21 8:28;20/02/2021 08:28;25/02/2021 08:28;-22.19;-48.79;SP
178;44;5;9;Entregue;2/7/21 8:28;26/02/2021 08:28;26/02/2021 08:28;-30.17;-53.5;RS
179;14;6;28;Entregue;2/7/21 8:49;14/02/2021 08:49;23/02/2021 08:49;-9.46;-48.26;TO
180;40;2;33;Entregue;2/7/21 9:33;15/02/2021 09:33;23/02/2021 09:33;-22.19;-48.79;SP
181;45;1;11;Entregue;2/7/21 9:41;11/02/2021 09:41;27/02/2021 09:41;-22.19;-48.79;SP
182;65;7;41;Entregue;2/7/21 10:05;20/02/2021 10:05;24/02/2021 10:05;-6.6;-42.28;PI
183;53;4;37;Entregue;2/7/21 10:06;23/02/2021 10:06;23/02/2021 10:06;-22.19;-48.79;SP
184;52;2;28;Entregue;2/7/21 10:11;19/02/2021 10:11;23/02/2021 10:11;-22.25;-42.66;RJ
185;51;6;37;Entregue;2/7/21 10:18;12/02/2021 10:18;24/02/2021 10:18;-22.19;-48.79;SP
186;9;8;26;Entregue;2/7/21 10:28;26/02/2021 10:28;27/02/2021 10:28;-20.51;-54.54;MS
187;2;2;17;Entregue;2/7/21 10:44;17/02/2021 10:44;22/02/2021 10:44;-20.51;-54.54;MS
188;20;9;37;Entregue;2/7/21 10:45;16/02/2021 10:45;22/02/2021 10:45;-30.17;-53.5;RS
189;8;6;9;Entregue;2/7/21 10:46;21/02/2021 10:46;27/02/2021 10:46;-22.25;-42.66;RJ
190;66;6;11;Entregue;2/7/21 10:52;16/02/2021 10:52;26/02/2021 10:52;-13.29;-41.71;BA
191;9;3;32;Entregue;2/7/21 10:57;18/02/2021 10:57;23/02/2021 10:57;-8.38;-37.86;PE
192;52;9;12;Entregue;2/7/21 11:20;21/02/2021 11:20;26/02/2021 11:20;-22.25;-42.66;RJ
193;3;9;7;Entregue;2/7/21 11:33;14/02/2021 11:33;22/02/2021 11:33;-22.25;-42.66;RJ
194;25;3;38;Entregue;2/7/21 11:37;15/02/2021 11:37;23/02/2021 11:37;-22.25;-42.66;RJ
195;19;6;23;Entregue;2/7/21 12:06;27/02/2021 12:06;23/02/2021 12:06;-6.6;-42.28;PI
196;54;7;25;Entregue;2/7/21 12:21;16/02/2021 12:21;22/02/2021 12:21;-15.98;-49.86;GO
197;66;4;26;Entregue;2/7/21 14:15;21/02/2021 14:15;22/02/2021 14:15;-18.1;-44.38;MG
198;56;5;18;Entregue;3/7/21 14:40;22/03/2021 14:40;25/03/2021 14:40;-22.19;-48.79;SP
199;35;3;5;Entregue;3/7/21 14:42;22/03/2021 14:42;24/03/2021 14:42;-22.19;-48.79;SP
200;8;9;18;Entregue;3/7/21 14:42;18/03/2021 14:42;26/03/2021 14:42;-22.19;-48.79;SP
201;3;10;32;Entregue;3/7/21 14:52;24/03/2021 14:52;25/03/2021 14:52;-22.25;-42.66;RJ
202;30;5;40;Entregue;3/7/21 15:12;22/03/2021 15:12;25/03/2021 15:12;-9.62;-36.82;AL
203;60;8;38;Entregue;3/7/21 15:53;12/03/2021 15:53;23/03/2021 15:53;-22.19;-48.79;SP
204;5;7;41;Entregue;3/7/21 16:50;18/03/2021 16:50;27/03/2021 16:50;-22.25;-42.66;RJ
205;19;4;34;Entregue;3/7/21 16:56;12/03/2021 16:56;24/03/2021 16:56;-15.98;-49.86;GO
206;50;5;32;Entregue;3/7/21 17:09;23/03/2021 17:09;25/03/2021 17:09;-27.45;-50.95;SC
207;27;9;34;Entregue;3/7/21 17:13;23/03/2021 17:13;24/03/2021 17:13;-3.79;-52.48;PA
208;4;7;33;Entregue;3/7/21 17:37;19/03/2021 17:37;26/03/2021 17:37;-22.25;-42.66;RJ
209;45;4;20;Entregue;3/7/21 18:16;15/03/2021 18:16;24/03/2021 18:16;-5.2;-39.53;CE
210;66;3;3;Entregue;3/7/21 19:02;19/03/2021 19:02;25/03/2021 19:02;-18.1;-44.38;MG
211;12;2;5;Entregue;3/7/21 19:16;17/03/2021 19:16;26/03/2021 19:16;-22.19;-48.79;SP
212;4;4;12;Entregue;3/7/21 19:17;25/03/2021 19:17;22/03/2021 19:17;-8.38;-37.86;PE
213;53;9;7;Entregue;3/7/21 21:19;19/03/2021 21:19;27/03/2021 21:19;-22.19;-48.79;SP
214;3;4;2;Entregue;3/7/21 21:30;12/03/2021 21:30;27/03/2021 21:30;-22.25;-42.66;RJ
215;8;2;14;Entregue;3/7/21 21:50;12/03/2021 21:50;25/03/2021 21:50;-10.57;-37.45;SE
216;62;4;20;Entregue;3/7/21 22:35;19/03/2021 22:35;26/03/2021 22:35;-22.19;-48.79;SP
217;16;4;36;Entregue;3/7/21 22:45;12/03/2021 22:45;25/03/2021 22:45;-7.28;-36.72;PB
218;40;3;1;Entregue;3/7/21 22:46;19/03/2021 22:46;27/03/2021 22:46;-22.25;-42.66;RJ
219;36;7;30;Entregue;3/7/21 22:51;16/03/2021 22:51;27/03/2021 22:51;-22.19;-48.79;SP
220;65;5;6;Entregue;3/7/21 23:18;15/03/2021 23:18;24/03/2021 23:18;-9.62;-36.82;AL
221;11;10;27;Entregue;3/8/21 1:28;12/03/2021 01:28;25/03/2021 01:28;-9.46;-48.26;TO
222;40;10;10;Entregue;3/8/21 2:18;25/03/2021 02:18;25/03/2021 02:18;-22.25;-42.66;RJ
223;43;7;28;Entregue;3/8/21 4:01;25/03/2021 04:01;23/03/2021 04:01;1.41;-51.77;AP
224;30;10;26;Entregue;3/8/21 7:02;21/03/2021 07:02;24/03/2021 07:02;-9.46;-48.26;TO
225;62;6;30;Entregue;3/8/21 8:05;13/03/2021 08:05;23/03/2021 08:05;-5.81;-36.59;RN
226;2;6;14;Entregue;3/8/21 8:25;25/03/2021 08:25;28/03/2021 08:25;-22.19;-48.79;SP
227;15;1;12;Entregue;3/8/21 9:50;21/03/2021 09:50;27/03/2021 09:50;-10.83;-63.34;RO
228;40;3;32;Entregue;3/8/21 9:55;28/03/2021 09:55;25/03/2021 09:55;-22.19;-48.79;SP
229;33;7;16;Entregue;3/8/21 10:07;13/03/2021 10:07;23/03/2021 10:07;-5.2;-39.53;CE
230;42;3;40;Entregue;3/8/21 10:26;25/03/2021 10:26;24/03/2021 10:26;-15.98;-49.86;GO
231;55;10;38;Entregue;3/8/21 10:31;24/03/2021 10:31;23/03/2021 10:31;-22.25;-42.66;RJ
232;62;1;42;Entregue;1/8/19 10:55;21/01/2019 10:55;23/01/2019 10:55;-22.19;-48.79;SP
233;21;2;20;Entregue;3/8/21 11:33;20/03/2021 11:33;27/03/2021 11:33;-22.25;-42.66;RJ
234;25;9;40;Entregue;3/8/21 11:47;25/03/2021 11:47;28/03/2021 11:47;-22.25;-42.66;RJ
235;4;7;42;Entregue;3/8/21 11:50;16/03/2021 11:50;27/03/2021 11:50;-8.38;-37.86;PE
236;17;1;31;Entregue;3/8/21 12:13;22/03/2021 12:13;28/03/2021 12:13;-5.81;-36.59;RN
237;53;4;17;Entregue;3/8/21 12:44;17/03/2021 12:44;26/03/2021 12:44;-22.19;-48.79;SP
238;48;5;15;Entregue;3/8/21 13:54;17/03/2021 13:54;26/03/2021 13:54;-22.25;-42.66;RJ
