Idade,Curso_Tecnico,Anos_Para_Formar,Gosta_Matematica,Gosta_Programacao,Gosta_Biologia,Gosta_Fisica,Gosta_Quimica,Gosta_Arte_Design,Gosta_Comunicacao,Gosta_Negocios,Gosta_Historia,Gosta_Geografia,Graduacao_Indicada
20,Sim,5,1,4,4,2,1,2,2,3,2,4,Educação Física
41,Não,7,1,3,3,3,5,3,1,5,4,2,Administração
30,Não,5,5,3,2,2,1,1,5,1,3,1,Direito
25,Sim,3,2,5,4,4,1,5,3,5,3,2,Administração
42,Não,4,3,4,4,5,2,1,3,4,1,4,Administração
18,Não,3,5,5,2,5,5,5,3,4,3,1,Administração
36,Não,4,4,4,3,3,5,1,2,4,2,2,Administração
44,Não,7,1,2,3,2,5,2,4,1,1,1,Psicologia
23,Não,6,3,5,4,2,1,2,3,2,2,5,Educação Física
24,Sim,7,1,3,2,5,3,4,1,1,5,1,Design
30,Não,7,1,5,1,5,4,2,4,4,1,5,Administração
33,Sim,7,1,1,1,3,4,2,1,3,4,1,Licenciatura em História
20,Não,5,2,1,5,2,4,1,4,5,4,1,Medicina
18,Não,7,3,1,2,1,2,5,2,4,3,5,Administração
22,Sim,6,5,3,3,2,4,2,5,3,2,4,Educação Física
20,Não,3,2,3,5,3,4,2,3,1,3,2,Medicina
45,Não,4,4,1,3,5,1,3,1,1,5,2,Licenciatura em Matemática
34,Sim,7,4,3,5,5,5,1,1,3,1,2,Medicina
42,Não,4,5,3,3,1,5,2,2,4,2,1,Administração
50,Não,7,3,3,4,1,1,2,2,1,4,1,Licenciatura em História
26,Sim,5,5,1,3,3,3,4,5,1,5,4,Direito
30,Sim,4,2,2,2,2,1,3,1,3,2,5,Comunicação Social
47,Não,7,3,2,5,5,3,5,4,2,2,3,Design
31,Não,7,4,4,1,4,5,1,5,2,1,1,Licenciatura em Matemática
24,Não,6,3,5,4,4,2,5,1,5,4,3,Administração
30,Sim,6,3,2,3,4,1,2,4,4,5,1,Direito
39,Sim,6,3,4,1,5,2,4,5,1,2,3,Design
37,Não,5,5,2,5,5,1,3,3,1,2,2,Psicologia
32,Não,4,1,1,4,4,4,1,4,3,5,2,Medicina
34,Não,5,2,4,4,1,5,3,1,1,3,2,Medicina
40,Sim,3,3,1,4,4,3,3,5,5,1,4,Administração
42,Sim,7,3,1,1,1,5,3,3,3,3,4,Licenciatura em Geografia
41,Sim,7,5,4,5,3,5,5,2,2,2,3,Odontologia
45,Não,7,2,4,3,4,4,3,2,4,4,2,Administração
31,Não,6,2,2,5,4,1,2,5,5,3,1,Direito
17,Não,7,4,2,4,1,1,2,3,1,2,4,Educação Física
41,Sim,6,2,5,5,1,3,2,5,4,5,1,Direito
23,Não,3,2,2,3,1,4,4,3,3,3,4,Design
25,Sim,5,3,4,5,3,2,4,3,5,1,4,Ciência da Computação
40,Não,5,1,2,4,4,3,3,2,2,5,2,Educação Física
17,Sim,5,3,4,4,1,2,1,4,2,3,4,Ciência da Computação
24,Não,6,5,5,3,3,2,4,5,3,5,2,Direito
40,Não,4,2,4,2,3,4,5,3,3,2,4,Design
27,Sim,4,1,5,5,5,1,2,1,1,1,3,Educação Física
33,Não,3,3,5,4,1,5,3,2,1,3,2,Medicina
24,Sim,4,4,5,5,1,2,5,1,3,5,1,Ciência da Computação
49,Não,3,5,1,3,1,5,5,3,4,3,5,Administração
21,Não,7,5,3,1,5,1,1,3,3,1,2,Psicologia
44,Não,5,5,4,1,1,5,2,4,3,3,1,Direito
23,Sim,6,3,2,4,1,2,2,2,2,2,3,Educação Física
25,Não,3,1,3,3,3,4,4,2,4,4,4,Administração
24,Sim,6,1,3,3,1,4,4,2,2,3,4,Design
28,Não,6,2,1,5,4,3,5,5,4,5,3,Medicina
50,Não,5,1,4,4,2,2,5,2,3,2,5,Design
49,Sim,7,4,4,1,1,3,5,4,5,5,2,Direito
39,Não,7,5,2,3,3,5,2,5,2,5,1,Direito
40,Não,4,3,1,3,5,3,5,1,3,3,4,Design
38,Sim,7,5,3,1,5,1,2,5,1,2,4,Licenciatura em Matemática
43,Sim,5,5,4,5,2,1,4,1,4,5,1,Administração
17,Não,6,4,1,5,3,4,1,3,5,2,2,Medicina
30,Sim,3,5,5,5,1,3,4,1,3,1,1,Medicina
19,Sim,3,5,4,5,5,2,2,2,2,3,3,Engenharia
17,Não,7,4,3,4,5,4,2,1,4,4,4,Medicina
21,Sim,4,4,5,5,4,5,4,2,1,2,5,Engenharia
42,Sim,3,1,5,5,2,5,4,5,1,1,3,Odontologia
30,Não,4,5,5,4,4,4,2,1,1,4,4,Medicina
43,Sim,3,2,3,3,5,1,3,3,5,5,3,Administração
25,Sim,4,2,1,2,1,1,4,2,1,3,5,Design
31,Não,4,2,4,5,1,5,5,1,3,5,2,Medicina
31,Não,6,4,1,2,4,1,4,5,2,5,1,Direito
42,Sim,5,5,3,1,1,5,1,2,1,1,4,Licenciatura em Matemática
29,Não,3,1,2,2,2,1,2,1,1,2,2,Design
48,Sim,7,5,4,1,4,5,1,2,3,5,2,Licenciatura em Matemática
48,Sim,5,2,4,2,3,5,1,4,1,4,4,Direito
20,Sim,6,3,2,5,1,5,3,4,1,2,2,Medicina
46,Sim,6,2,5,2,1,1,4,5,3,4,3,Direito
39,Não,6,4,4,3,3,2,5,3,2,5,3,Design
31,Não,7,5,4,2,2,5,4,4,2,5,1,Direito
45,Sim,3,4,4,1,4,1,2,5,2,1,5,Licenciatura em Matemática
29,Não,3,1,3,3,4,2,4,4,3,4,5,Direito
48,Sim,4,5,2,2,2,5,3,5,5,4,2,Direito
23,Sim,4,5,4,1,4,2,5,3,2,1,5,Engenharia
38,Não,4,5,2,1,1,3,2,4,1,5,2,Direito
44,Não,7,3,5,5,2,5,2,4,3,3,2,Odontologia
18,Sim,5,5,4,1,1,5,1,1,2,3,4,Ciência da Computação
22,Não,3,3,1,3,1,1,2,5,5,5,1,Direito
44,Sim,4,5,1,4,1,3,3,2,5,2,5,Administração
44,Não,7,2,1,1,3,1,1,5,3,3,1,Direito
36,Não,7,1,1,3,2,4,4,5,1,2,3,Design
46,Sim,4,5,3,4,1,3,5,4,3,5,1,Direito
27,Não,6,4,5,2,2,5,5,4,3,5,3,Direito
44,Não,6,2,4,1,5,5,2,5,3,4,2,Direito
41,Sim,6,4,5,5,1,5,5,5,4,4,5,Odontologia
49,Sim,4,4,1,2,4,3,4,5,2,2,2,Design
17,Sim,7,3,5,5,5,5,5,3,3,1,1,Ciência da Computação
43,Sim,7,1,5,3,4,4,1,4,4,3,2,Direito
29,Sim,3,4,3,3,5,2,2,2,5,5,5,Engenharia
19,Sim,6,2,1,4,3,3,3,2,5,3,1,Medicina
22,Não,4,1,2,5,3,2,5,2,3,3,3,Design
24,Sim,3,2,5,3,5,1,5,2,2,4,5,Design
43,Sim,7,4,5,5,5,1,2,2,4,5,4,Administração
25,Sim,3,1,1,3,2,3,1,2,2,5,1,Educação Física
49,Não,6,5,3,5,3,5,2,3,1,3,4,Odontologia
40,Sim,5,4,4,4,2,1,3,1,3,5,4,Educação Física
31,Sim,6,4,1,2,4,1,2,2,4,1,4,Administração
48,Não,6,3,4,1,3,4,2,3,2,1,1,Licenciatura em História
48,Não,4,2,2,3,2,1,5,3,5,5,3,Administração
40,Sim,5,5,4,5,1,1,3,3,3,4,4,Psicologia
28,Não,5,1,5,3,4,1,4,2,2,3,1,Design
18,Não,5,4,3,3,3,5,1,4,3,2,2,Educação Física
19,Sim,7,4,2,1,1,1,2,1,3,4,4,Psicologia
33,Sim,3,5,3,4,5,3,4,1,3,1,1,Medicina
18,Sim,7,4,3,1,1,5,5,1,4,5,5,Administração
18,Não,5,2,4,2,5,4,3,2,1,1,2,Psicologia
44,Sim,4,1,3,2,5,1,3,2,5,5,3,Administração
39,Não,6,5,2,2,5,5,5,5,5,1,3,Administração
48,Sim,6,5,3,2,5,5,5,3,2,4,2,Design
49,Não,7,3,2,2,4,1,1,2,1,2,1,Licenciatura em Matemática
17,Sim,7,1,5,5,5,4,4,1,1,5,5,Medicina
35,Não,4,5,5,3,5,1,2,1,5,1,2,Administração
18,Sim,6,4,4,5,5,1,5,2,5,1,5,Engenharia
42,Sim,7,1,1,5,3,3,3,2,3,2,5,Licenciatura em Geografia
48,Sim,3,2,5,1,2,5,5,4,1,1,4,Design
22,Não,7,5,1,1,1,2,5,5,3,5,4,Direito
48,Não,7,2,2,5,1,4,3,2,2,3,4,Odontologia
20,Sim,5,5,1,2,2,4,3,2,1,1,1,Licenciatura em Matemática
27,Não,3,4,3,4,4,5,3,5,5,4,5,Medicina
33,Sim,3,3,2,3,5,2,5,5,3,4,4,Direito
40,Não,4,4,3,2,3,2,2,1,5,5,4,Administração
21,Sim,5,2,1,1,1,2,3,3,3,4,3,Licenciatura em Biologia
50,Não,3,1,3,5,2,5,1,2,2,4,4,Odontologia
22,Não,5,2,2,1,5,1,1,2,3,2,1,Licenciatura em Matemática
38,Não,5,3,3,3,1,4,2,4,1,3,3,Direito
27,Não,6,5,1,5,1,2,2,4,2,5,1,Direito
32,Não,3,5,3,4,1,1,5,5,3,2,4,Design
49,Sim,6,2,3,5,5,4,1,5,2,1,2,Odontologia
25,Não,7,1,4,1,4,4,2,5,4,1,5,Administração
22,Não,7,5,2,2,2,3,4,1,1,2,2,Design
32,Não,6,5,4,1,2,2,1,5,4,3,2,Direito
45,Não,7,3,1,3,1,5,5,4,5,1,1,Administração
19,Sim,6,3,5,4,4,1,2,1,4,3,1,Ciência da Computação
36,Não,4,1,1,3,4,2,5,3,5,2,4,Administração
35,Não,5,5,1,3,5,5,4,1,4,2,3,Administração
42,Sim,4,4,1,2,2,1,3,4,4,4,5,Direito
19,Sim,3,2,1,1,1,1,4,1,3,3,4,Design
35,Não,4,5,4,2,1,5,1,2,2,4,4,Licenciatura em Matemática
36,Sim,4,2,1,2,4,5,3,2,5,4,2,Administração
48,Não,7,5,3,5,3,2,1,2,4,4,2,Administração
23,Não,6,3,1,1,5,4,2,1,5,2,4,Administração
49,Sim,3,1,5,5,4,1,2,3,5,1,3,Administração
34,Não,7,4,2,1,5,4,5,1,4,1,5,Administração
17,Sim,3,3,4,2,4,2,1,3,1,2,1,Ciência da Computação
27,Sim,5,1,4,4,4,4,3,4,1,3,5,Medicina
44,Não,6,3,4,5,4,2,3,3,1,5,1,Psicologia
41,Não,7,2,4,1,3,5,3,4,1,2,1,Comunicação Social
39,Sim,4,5,1,5,2,3,2,4,1,2,4,Psicologia
47,Não,5,3,5,1,1,5,4,3,2,4,2,Design
46,Sim,4,1,1,5,5,2,2,4,2,1,1,Psicologia
23,Sim,3,5,2,4,4,3,3,4,4,3,2,Engenharia
32,Sim,5,2,2,1,1,1,5,4,2,2,5,Design
42,Sim,7,2,1,4,4,2,3,2,2,4,4,Licenciatura em História
18,Não,4,4,1,4,2,3,3,5,5,3,5,Medicina
17,Não,4,5,1,4,2,4,4,1,4,4,3,Medicina
28,Não,3,2,5,5,2,3,5,4,3,1,3,Medicina
21,Não,3,3,4,3,4,1,5,3,4,1,2,Administração
48,Não,6,2,2,2,1,5,4,1,2,4,1,Design
25,Não,6,2,2,3,2,4,1,2,5,1,5,Administração
35,Sim,3,2,4,3,5,5,4,5,2,5,3,Direito
32,Não,6,4,4,5,3,1,3,5,3,4,2,Direito
19,Sim,4,1,2,3,3,4,2,5,1,1,2,Educação Física
36,Sim,3,2,2,3,3,1,3,5,3,3,2,Direito
40,Sim,5,1,5,5,3,1,5,3,2,4,4,Design
49,Não,3,5,2,2,3,2,4,5,2,2,4,Design
40,Sim,7,1,1,2,3,4,5,4,3,2,5,Design
27,Não,7,5,1,3,4,2,5,4,4,2,4,Administração
24,Sim,3,4,4,2,1,1,3,3,3,3,1,Ciência da Computação
36,Não,5,5,4,5,5,2,5,3,5,4,1,Administração
41,Não,3,5,1,4,1,5,1,1,5,1,1,Odontologia
41,Não,5,3,4,1,5,3,3,2,4,2,2,Administração
45,Não,4,4,1,5,2,2,2,4,4,2,1,Administração
34,Não,4,2,5,2,5,5,3,1,4,3,3,Administração
34,Sim,5,4,4,3,4,1,5,1,3,4,1,Design
18,Não,6,3,3,2,2,2,2,4,3,4,1,Direito
32,Não,4,5,2,3,3,2,3,4,5,1,2,Administração
49,Sim,7,4,1,1,4,5,5,5,3,4,2,Direito
20,Não,3,3,2,4,4,1,1,1,2,5,4,Educação Física
49,Não,6,2,2,4,1,5,5,4,4,1,1,Odontologia
30,Não,7,5,4,5,1,4,1,2,1,3,4,Medicina
37,Não,3,4,2,1,2,1,4,2,1,4,3,Design
36,Não,7,4,3,5,4,1,5,4,4,1,3,Administração
24,Sim,6,5,4,1,2,5,5,4,4,4,4,Ciência da Computação
23,Não,5,4,1,1,3,5,1,5,3,5,5,Direito
19,Sim,3,5,2,4,1,3,1,4,2,3,3,Medicina
33,Não,7,3,2,1,4,5,3,4,5,4,5,Direito
49,Sim,7,5,5,1,3,4,1,3,5,4,4,Administração
28,Sim,6,2,1,2,4,4,2,3,2,2,5,Medicina
38,Sim,6,5,5,1,3,5,5,1,3,5,1,Design
38,Não,6,4,1,4,5,3,2,3,1,3,2,Psicologia
46,Não,5,5,2,4,3,3,4,5,4,2,4,Administração
24,Sim,4,5,2,4,5,4,4,2,3,4,5,Engenharia
43,Não,7,5,3,3,1,1,2,4,1,4,5,Direito
43,Não,5,2,4,5,5,2,4,4,3,5,3,Direito
50,Sim,7,2,3,1,2,2,5,5,3,2,4,Design
37,Não,5,4,1,3,3,3,5,3,4,4,2,Administração
46,Sim,3,4,1,4,1,1,3,4,3,5,4,Direito
49,Não,4,5,1,4,4,4,3,1,2,3,1,Odontologia
44,Sim,7,1,1,4,3,3,1,1,3,2,2,Licenciatura em Biologia
49,Não,6,3,4,1,3,3,1,4,5,1,1,Administração
21,Não,4,5,2,3,5,2,4,5,4,5,2,Direito
35,Sim,7,3,3,3,5,2,3,3,2,1,2,Psicologia
20,Sim,3,2,2,2,3,5,1,3,2,2,3,Licenciatura em Biologia
33,Não,7,4,5,5,3,4,3,2,5,3,3,Medicina
44,Sim,7,1,3,4,2,1,4,1,5,4,2,Administração
46,Sim,7,4,1,2,4,4,4,3,2,1,4,Design
45,Sim,4,2,1,1,2,5,4,2,1,3,2,Design
22,Sim,7,5,5,2,2,4,3,4,5,4,3,Ciência da Computação
40,Sim,6,2,3,4,4,2,1,5,2,2,2,Psicologia
45,Não,5,1,4,2,1,4,4,2,3,2,1,Design
47,Sim,6,5,4,4,4,1,1,4,1,2,1,Psicologia
49,Sim,3,5,1,2,1,3,3,4,5,1,4,Administração
37,Sim,4,1,1,4,3,1,2,1,3,2,1,Educação Física
48,Sim,5,4,1,3,2,1,1,2,2,3,4,Licenciatura em Matemática
39,Não,4,5,5,2,3,2,2,1,5,1,1,Administração
49,Sim,4,4,5,3,2,1,2,2,1,1,2,Licenciatura em Matemática
19,Não,7,3,2,5,5,5,4,2,4,1,2,Medicina
34,Não,6,1,5,5,2,5,1,1,4,2,1,Medicina
41,Sim,5,3,3,5,2,5,1,3,3,2,1,Odontologia
47,Sim,7,5,5,2,2,4,4,1,4,1,2,Administração
19,Não,5,1,3,5,1,4,3,5,5,1,1,Medicina
40,Não,6,5,4,3,5,4,1,1,4,4,3,Administração
48,Não,7,1,2,3,1,4,2,1,1,4,3,Licenciatura em História
38,Sim,5,4,5,5,4,1,5,2,4,2,2,Administração
39,Não,7,2,4,5,4,4,5,1,2,2,3,Odontologia
18,Sim,4,2,3,1,5,2,2,3,4,3,5,Administração
43,Não,3,1,2,1,4,2,2,1,2,1,3,Psicologia
18,Não,5,3,4,2,3,3,1,5,5,4,2,Direito
42,Sim,6,1,3,1,1,5,3,3,3,4,5,Licenciatura em História
33,Sim,5,4,2,3,2,1,3,4,1,3,5,Direito
49,Não,3,3,1,3,3,2,1,1,3,5,2,Licenciatura em História
25,Sim,5,1,5,2,2,4,4,2,4,5,3,Administração
45,Sim,5,1,1,2,4,5,5,3,4,4,5,Administração
42,Não,5,5,1,4,1,3,2,4,1,2,2,Psicologia
41,Sim,6,4,1,1,4,2,3,5,4,3,3,Direito
40,Sim,3,4,4,4,1,1,4,5,2,1,4,Design
29,Não,3,2,1,5,2,3,5,3,3,1,5,Medicina
23,Não,6,5,1,3,2,5,2,4,4,1,1,Administração
36,Sim,5,3,4,2,2,4,1,5,5,5,5,Direito
17,Sim,5,2,5,5,5,4,4,3,2,1,2,Medicina
24,Sim,3,4,2,4,4,5,2,3,5,3,1,Engenharia
32,Não,5,1,2,5,5,2,1,2,1,3,1,Educação Física
30,Não,4,5,5,5,3,4,2,2,5,1,5,Medicina
28,Sim,5,4,4,2,5,4,1,1,2,5,2,Engenharia
39,Sim,5,4,1,1,2,2,1,3,4,1,4,Administração
31,Sim,7,5,2,2,1,5,5,5,5,3,3,Direito
44,Não,3,4,5,2,4,5,4,1,1,3,3,Design
50,Não,3,2,5,1,4,3,3,1,4,4,1,Administração
18,Sim,4,5,1,1,4,4,5,5,5,1,1,Engenharia
48,Sim,4,4,5,2,3,5,3,5,2,4,1,Direito
39,Sim,4,4,4,1,4,2,5,3,2,3,4,Design
38,Sim,3,5,4,3,3,2,1,1,3,3,3,Educação Física
41,Não,7,1,2,5,2,2,5,4,5,4,5,Direito
38,Sim,7,3,3,5,1,4,1,4,4,2,3,Odontologia
38,Sim,6,5,5,4,2,1,4,3,4,4,5,Administração
22,Não,3,1,4,2,5,5,2,3,2,4,3,Administração
31,Sim,6,4,1,5,4,1,1,5,3,4,4,Direito
49,Sim,5,2,1,5,5,1,3,5,2,2,3,Psicologia
24,Sim,4,4,3,5,3,3,1,3,3,1,1,Medicina
21,Sim,6,4,3,1,2,2,1,4,2,1,5,Ciência da Computação
20,Sim,6,1,3,1,4,2,3,1,2,3,4,Psicologia
22,Sim,3,5,1,5,3,2,1,2,4,2,2,Administração
48,Não,4,3,5,3,2,5,1,1,2,2,1,Licenciatura em Biologia
46,Sim,4,3,4,1,2,2,3,2,5,4,1,Administração
32,Não,7,5,1,5,3,2,2,2,5,1,4,Administração
29,Não,6,5,4,4,1,3,4,4,2,3,3,Medicina
46,Não,7,2,3,5,2,3,1,4,1,4,3,Direito
35,Não,6,5,2,2,4,1,1,1,5,3,3,Administração
33,Sim,3,2,5,5,5,5,2,3,3,5,4,Medicina
35,Sim,3,5,3,2,3,1,2,4,3,3,2,Direito
44,Sim,5,2,3,4,1,5,4,1,1,4,2,Odontologia
42,Sim,6,5,4,4,2,4,1,5,3,5,2,Odontologia
42,Não,6,5,1,3,5,3,4,4,3,3,1,Direito
39,Não,4,3,2,5,1,2,2,4,1,2,5,Psicologia
25,Não,4,4,5,1,3,1,2,5,1,4,5,Direito
28,Sim,7,4,2,3,2,2,1,5,3,4,3,Direito
17,Não,5,2,3,3,2,3,3,2,5,3,2,Administração
17,Sim,3,1,2,2,3,1,5,2,1,1,4,Design
50,Não,6,3,5,3,5,5,2,2,3,4,1,Licenciatura em História
48,Sim,7,5,3,3,5,5,1,1,4,2,4,Administração
41,Não,5,3,5,3,4,2,3,2,2,5,4,Licenciatura em História
17,Não,4,1,2,2,2,5,4,2,2,1,3,Design
32,Sim,5,3,3,4,3,2,4,4,3,4,4,Direito
21,Não,7,1,3,3,2,1,4,5,2,3,1,Direito
38,Não,3,1,5,4,4,2,3,1,4,4,4,Administração
45,Sim,4,1,1,4,4,4,5,5,1,1,4,Odontologia
19,Não,4,1,3,2,1,1,3,2,4,2,4,Administração
28,Não,3,1,5,4,2,2,3,3,5,5,1,Administração
42,Não,4,5,5,2,3,5,2,2,1,4,5,Licenciatura em Matemática
32,Não,7,3,5,3,1,2,1,2,1,4,3,Educação Física
38,Sim,4,4,1,1,3,5,3,2,5,1,1,Administração
45,Sim,6,4,4,2,4,4,4,2,1,5,1,Design
30,Não,5,5,3,1,5,4,2,5,2,5,4,Direito
44,Sim,7,2,2,3,5,5,4,1,2,4,4,Design
21,Não,3,1,5,1,3,1,1,4,2,1,1,Licenciatura em Biologia
46,Sim,7,3,2,5,3,5,2,4,2,2,3,Odontologia
21,Não,6,1,5,5,5,2,1,2,2,5,1,Educação Física
28,Não,4,1,5,3,1,1,3,2,2,1,3,Educação Física
32,Sim,4,4,3,4,5,1,2,3,1,5,1,Psicologia
42,Não,7,1,1,4,4,2,1,3,3,1,1,Psicologia
42,Não,4,3,1,2,2,1,4,4,5,5,5,Direito
37,Não,4,3,2,5,3,2,3,1,1,2,3,Educação Física
49,Não,6,4,4,2,1,3,2,2,5,3,4,Administração
46,Sim,3,5,1,3,4,4,3,5,2,1,3,Psicologia
39,Sim,5,4,1,1,2,3,2,4,2,3,3,Direito
26,Sim,7,4,4,5,1,3,2,3,4,4,3,Ciência da Computação
21,Sim,3,1,1,4,3,4,5,1,1,2,2,Medicina
50,Não,5,2,3,2,1,3,2,5,1,4,3,Direito
47,Não,3,5,3,1,4,5,1,1,4,2,5,Administração
26,Não,7,5,2,4,5,4,1,1,2,3,3,Medicina
35,Não,6,5,2,4,3,3,1,4,5,4,2,Direito
48,Sim,6,1,2,3,2,4,3,1,2,4,5,Licenciatura em História
17,Sim,6,4,3,4,3,4,5,3,2,3,4,Medicina
21,Sim,3,1,2,4,4,4,1,1,4,1,2,Medicina
20,Não,7,3,2,4,2,5,4,1,5,4,1,Medicina
32,Não,4,2,3,1,4,5,3,2,2,5,5,Licenciatura em História
40,Não,4,2,4,1,3,2,5,3,2,2,5,Design
32,Não,6,1,2,4,1,2,3,4,4,4,1,Direito
18,Sim,3,4,1,3,4,5,5,3,3,3,5,Engenharia
44,Sim,4,5,3,4,5,4,3,5,2,4,5,Odontologia
48,Sim,3,3,4,5,5,1,3,1,4,4,5,Administração
43,Não,7,3,1,5,3,2,1,2,1,4,4,Licenciatura em História
36,Sim,6,2,1,2,2,2,1,1,5,1,5,Administração
40,Não,5,4,5,5,1,1,1,2,4,5,4,Administração
28,Sim,6,5,4,2,2,1,4,2,1,2,3,Ciência da Computação
49,Sim,5,2,5,2,4,2,2,2,4,5,5,Administração
49,Não,4,4,3,2,3,2,2,5,2,5,4,Direito
28,Não,5,5,4,2,1,3,5,4,5,2,2,Administração
19,Não,3,1,5,4,3,3,4,3,3,5,1,Medicina
17,Sim,5,4,3,1,3,4,5,4,5,3,4,Direito
49,Sim,4,3,2,5,3,2,5,2,2,1,1,Design
26,Sim,4,4,1,5,2,2,4,3,1,5,5,Design
45,Sim,6,4,3,5,4,4,4,4,2,2,4,Odontologia
29,Não,4,4,4,2,4,4,4,1,1,2,3,Design
28,Sim,3,5,1,3,2,1,2,5,2,5,1,Direito
47,Não,5,5,1,1,5,2,5,1,4,2,4,Administração
18,Sim,7,1,3,3,1,2,2,4,1,3,3,Direito
39,Não,4,1,2,3,1,1,4,3,1,1,5,Design
33,Não,5,5,3,5,2,1,4,1,1,3,1,Design
42,Sim,6,5,5,3,3,1,3,5,2,2,3,Psicologia
24,Sim,7,2,5,4,3,4,3,1,2,2,3,Medicina
45,Não,6,4,5,3,4,3,2,3,5,4,1,Administração
42,Sim,3,4,4,3,2,2,3,3,4,3,1,Administração
26,Não,6,3,3,5,5,3,3,5,3,5,5,Medicina
42,Sim,5,5,1,3,5,1,3,3,3,5,2,Psicologia
50,Sim,7,5,4,2,1,3,1,2,2,3,5,Licenciatura em Matemática
23,Sim,6,1,5,1,1,5,5,5,2,2,4,Design
20,Sim,6,1,4,4,3,5,5,5,1,3,5,Medicina
27,Sim,3,4,1,1,3,3,5,3,5,5,4,Administração
45,Não,5,4,4,2,2,1,5,4,5,1,1,Administração
41,Sim,6,5,2,3,3,4,4,2,4,2,2,Administração
37,Não,5,4,5,5,3,5,3,3,5,2,3,Odontologia
26,Não,4,5,3,1,4,3,4,5,1,3,3,Direito
25,Não,3,3,5,3,2,5,5,4,4,1,2,Administração
40,Sim,3,3,5,1,1,2,5,2,4,2,5,Administração
34,Não,3,2,3,3,2,4,2,4,1,3,5,Direito
48,Não,5,1,3,5,5,1,2,1,3,3,5,Licenciatura em Geografia
40,Não,6,2,1,2,3,2,2,3,3,4,5,Licenciatura em História
39,Não,6,3,1,1,1,1,4,2,5,2,4,Administração
48,Não,5,4,2,4,2,2,3,4,4,2,1,Administração
28,Não,5,1,4,2,1,5,3,2,5,5,3,Administração
29,Sim,4,1,4,5,3,1,2,5,3,5,1,Direito
39,Não,7,2,4,4,1,1,5,5,2,2,1,Design
41,Não,7,1,5,3,1,4,5,3,3,4,4,Design
46,Sim,3,3,5,1,1,2,5,5,5,2,3,Administração
33,Não,6,4,3,4,5,1,1,2,4,4,3,Administração
36,Sim,3,2,2,2,4,5,4,2,2,2,4,Design
41,Sim,6,4,2,4,2,1,1,2,4,2,1,Administração
38,Não,6,2,4,5,1,2,4,1,2,4,1,Design
29,Não,4,5,3,4,5,1,5,3,2,1,1,Design
35,Sim,5,1,4,1,1,4,4,1,2,2,2,Design
28,Sim,5,5,5,1,1,4,4,2,4,3,3,Ciência da Computação
35,Sim,5,1,3,3,4,2,3,1,2,1,3,Educação Física
28,Sim,7,5,4,4,5,4,4,3,5,1,2,Engenharia
25,Não,5,4,2,4,4,4,3,5,3,3,4,Medicina
23,Sim,7,3,1,5,5,5,5,1,1,2,5,Medicina
44,Sim,3,2,5,1,2,5,1,3,4,3,1,Administração
30,Sim,7,1,4,2,2,2,3,2,1,3,3,Engenharia
47,Não,6,2,3,3,4,2,1,3,5,2,5,Administração
35,Sim,4,3,3,4,2,2,3,5,4,3,3,Direito
32,Sim,4,5,4,3,1,1,2,1,5,4,3,Administração
21,Não,6,4,2,4,2,5,1,3,2,2,5,Medicina
